,Regione,Celle 20m x 20m raggiunte,Punti terminazione dichiarati,Punti terminazione geograficamente distinti (passo 5m),Indirizzi postali distinti (se forniti/disponibili),Celle 20m x 20m raggiunte FTTH,Punti terminazione dichiarati FTTH,Punti terminazione geograficamente distinti (passo 5m) FTTH,Indirizzi postali distinti (se forniti/disponibili) FTTH,Celle 20m x 20m raggiunte FTTC,Famiglie Residenti (calcolato),Famiglie raggiunte FTTH (calcolato),Anno,Trimestre,DataRiferimento
0,Abruzzo,297345,2282955,613632,1446106,120666,268215,224610,246185,193540,501425,288530,2023,Q4,2023-12-31
1,Basilicata,101340,1102771,283629,650937,29759,76411,67404,83155,72324,212350,91826,2023,Q4,2023-12-31
2,Calabria,367176,4780341,861845,2618856,56839,153522,111560,263546,329344,719265,259651,2023,Q4,2023-12-31
3,Campania,732837,6547433,1671979,4054498,276318,664236,543966,759860,537347,1975602,1424381,2023,Q4,2023-12-31
4,Emilia-Romagna,1073211,6230335,1899998,3390921,348646,697854,571505,493467,800319,1906953,1099272,2023,Q4,2023-12-31
5,Friuli Venezia Giulia,387957,2102047,618784,878805,129323,204644,176035,117829,324389,524917,299896,2023,Q4,2023-12-31
6,Lazio,881480,7284667,1895226,3479302,314721,698008,578465,706822,690133,2375856,1703292,2023,Q4,2023-12-31
7,Liguria,285175,2338769,569385,1143524,78924,259946,157922,246475,207478,709888,395168,2023,Q4,2023-12-31
8,Lombardia,1863332,10637234,3298240,4974597,596977,1041180,881526,597942,1393833,4214801,2467558,2023,Q4,2023-12-31
9,Marche,368726,2306815,709549,1537448,123774,214854,197188,154666,247364,590571,344707,2023,Q4,2023-12-31
10,Molise,82707,693650,218111,522638,54327,127108,116144,117361,40801,116554,98650,2023,Q4,2023-12-31
11,Piemonte,960766,4575689,1659993,2460190,333492,571667,489053,263335,497612,1874197,1171862,2023,Q4,2023-12-31
12,Puglia,631054,7526928,1852227,3502665,164318,542875,418997,567455,572940,1467963,760477,2023,Q4,2023-12-31
13,Sardegna,380183,2966109,888280,2141761,79663,155472,144125,105891,294027,642135,251594,2023,Q4,2023-12-31
14,Sicilia,837227,10387862,2561576,5044934,342956,1172260,872142,1119723,665595,1872639,1181963,2023,Q4,2023-12-31
15,Toscana,796425,6211897,1651466,3293655,236563,575344,449623,517618,652975,1526732,839569,2023,Q4,2023-12-31
16,Trentino-Alto Adige,241622,1007457,392412,639214,76952,126707,109350,62608,113819,227175,176183,2023,Q4,2023-12-31
17,Umbria,200425,1206865,361026,694856,80314,153818,131270,117496,133963,346882,193714,2023,Q4,2023-12-31
18,Valle d'Aosta,45230,172069,79322,111818,11441,16753,16332,3508,15450,56980,29257,2023,Q4,2023-12-31
19,Veneto,1374884,7021413,2261469,3496595,472061,860716,722120,542121,940536,1945529,1118174,2023,Q4,2023-12-31
20,Abruzzo,308725,2503321,606582,1814375,124594,409537,286769,919068,198256,500115,362982,2024,Q4,2024-12-31
21,Basilicata,106459,1224994,283987,747111,44561,197974,125795,430933,71877,210940,148492,2024,Q4,2024-12-31
22,Calabria,407410,5129120,854663,2960747,129725,440227,285016,1375597,331574,715856,434034,2024,Q4,2024-12-31
23,Campania,734859,7024801,1643308,4786475,255590,968456,664435,2224033,541429,1970317,1432986,2024,Q4,2024-12-31
24,Emilia-Romagna,1251350,6488591,1855729,5391952,382102,897854,721004,1555344,791363,1912237,1333122,2024,Q4,2024-12-31
25,Friuli-Venezia Giulia,381773,2173925,593833,1032174,125364,255684,201653,389679,322776,524722,340993,2024,Q4,2024-12-31
26,Lazio,928166,7796175,1846963,4349023,331286,1009970,750138,2031229,681598,2378368,1826855,2024,Q4,2024-12-31
27,Liguria,323587,2433538,574452,1396536,90682,315392,200586,548001,205153,709231,474696,2024,Q4,2024-12-31
28,Lombardia,1788526,15097293,3530953,6233227,631680,2167765,1233020,2499101,1387118,4229092,2987176,2024,Q4,2024-12-31
29,Marche,388595,2516652,705545,1927802,138795,365308,280402,851174,247328,589459,430517,2024,Q4,2024-12-31
30,Molise,79275,779508,210772,664133,41527,207209,128724,460461,40746,115949,98529,2024,Q4,2024-12-31
31,Piemonte,998399,4717788,1569469,3224718,308303,710414,559101,1295113,490103,1871950,1339401,2024,Q4,2024-12-31
32,Puglia,659445,8373147,1922214,4030718,257508,1150467,833077,2025590,588334,1462274,1068149,2024,Q4,2024-12-31
33,Sardegna,405814,3380080,915361,2601076,120805,351902,271837,937497,303800,638406,374442,2024,Q4,2024-12-31
34,Sicilia,823959,11531178,2634260,5776655,414034,2095146,1443963,3580783,674103,1865205,1510439,2024,Q4,2024-12-31
35,Toscana,861861,6514101,1658881,4320307,255606,786766,584089,1401904,654091,1526175,949017,2024,Q4,2024-12-31
36,Trentino-Alto Adige,248655,1057036,375543,851541,71521,145016,118202,255692,114395,440466,264281,2024,Q4,2024-12-31
37,Umbria,213243,1293969,345559,892559,78241,219090,156971,427322,135417,345898,236067,2024,Q4,2024-12-31
38,Valle d'Aosta,48992,178974,78471,141044,10348,22183,19112,35645,15225,56874,32298,2024,Q4,2024-12-31
39,Veneto,1363089,7277603,2096012,4341384,439837,959289,753627,1697313,936073,1946251,1262352,2024,Q4,2024-12-31
40,Abruzzo,310207,2718379,631737,1817651,161154,553125,364541,1152640,201524,500115,408673,2025,Q3,2025-09-30
41,Basilicata,107737,1296739,291509,748875,54569,247890,154359,501135,73045,210940,166746,2025,Q3,2025-09-30
42,Calabria,411183,5434386,874517,2964982,173585,648709,393752,1749969,337414,715856,521132,2025,Q3,2025-09-30
43,Campania,738719,7242894,1690751,4792155,281959,1103106,741724,2432548,544625,1970317,1512921,2025,Q3,2025-09-30
44,Emilia-Romagna,1253373,6725665,1906330,5387307,432925,1047617,830558,1788296,799507,1912237,1418899,2025,Q3,2025-09-30
45,Friuli Venezia Giulia,382186,2244322,605649,1032572,138121,293658,228052,431232,325564,524722,357826,2025,Q3,2025-09-30
46,Lazio,931096,8152816,1903096,4352673,379379,1239090,884183,2293990,689148,2378368,1910339,2025,Q3,2025-09-30
47,Liguria,323934,2590395,601345,1397271,112847,410816,255562,650806,206810,709231,517053,2025,Q3,2025-09-30
48,Lombardia,1790642,15494502,3629935,6237115,757478,2721408,1543941,2945444,1397497,4229092,3229690,2025,Q3,2025-09-30
49,Marche,389061,2665834,730006,1930334,167817,469604,347748,1034474,249862,589459,462153,2025,Q3,2025-09-30
50,Molise,79692,827208,218239,664469,44192,227709,138809,491784,41749,115949,100835,2025,Q3,2025-09-30
51,Piemonte,999620,4959921,1621840,3227338,368235,873004,675113,1505074,494099,1871950,1434320,2025,Q3,2025-09-30
52,Puglia,660300,8661232,1974595,4034772,304115,1366886,979930,2372259,591543,1462274,1174966,2025,Q3,2025-09-30
53,Sardegna,406956,3670822,928645,2603638,191186,605607,436880,1461716,306067,638406,477126,2025,Q3,2025-09-30
54,Sicilia,838749,12114100,2761835,5857955,465471,2386419,1628884,4001333,693055,1865205,1607740,2025,Q3,2025-09-30
55,Toscana,863525,6746666,1713905,4325581,289532,937030,685002,1587351,659295,1526175,1010841,2025,Q3,2025-09-30
56,Trentino-Alto Adige,248732,1106624,385823,852727,78723,170441,135733,288007,116229,440466,273631,2025,Q3,2025-09-30
57,Umbria,213968,1343683,352929,894368,86637,244948,172384,475888,136712,345898,247607,2025,Q3,2025-09-30
58,Valle d'Aosta,49009,191727,81698,141225,14299,31453,26490,47943,15475,56874,37810,2025,Q3,2025-09-30
59,Veneto,1364494,7614317,2160707,4345325,497097,1134044,870253,1913525,946472,1946251,1350105,2025,Q3,2025-09-30
